Store Number,Country,Ownership Type,Latitude,Longitude,Street Address,City,State/Province,Timezone,Year
30625-100796,HK,Licensed,22.28598,114.1531,"Shop B on Ground Floor, Kwong Fat Hong",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34616-51681,HK,Licensed,22.27852,114.16087,"Shop 3, Citibank Plaza,3 Garden Road",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31011-103797,HK,Licensed,22.2809,114.15264,香港堅道51號地下全層(包括閣樓)及低層地下,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34634-82422,HK,Licensed,22.28786,114.15221,"Shop unit 226-227, 2/F, Shun Tak Centre,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
1611-181864,HK,Licensed,22.279166,114.164423,"Shop A04, First Floor, LAB Concept",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
20900-208764,HK,Licensed,22.285327,114.149931,"Shop G61 & G62, G/F, Midland Centre",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
15414-161225,HK,Licensed,22.279297,114.165226,"Shop No.80, 1/F, Admiralty Centre",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34609-22927,HK,Licensed,22.277657,114.164619,"Shop 131, Level 1, Pacific Place",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
49648-270180,HK,Licensed,22.277187,114.164326,香港金鐘道88號太古廣場 1樓106舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
16505-172146,HK,Licensed,22.28072,114.16725,"Shop 301 on Third Floor of CITIC Tower,",Admiralty,91,GMT+08:00 Asia/Hong_Kong,2021
61908-296402,HK,Licensed,22.277401,114.166246,"Shop B&C, L1, Pacific Place",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
18145-188484,HK,Licensed,22.28756,114.14732,"Shop 2, G/F, Hotel IBIS",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
48916-264345,HK,Licensed,22.277805,114.170021,灣仔軒尼詩道23-29號 東亞樓一樓,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
60726-295078,HK,Licensed,22.294992,114.165646,"Shop 21E, L3, LCX, Ocean Terminal",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
22016-217104,HK,Licensed,22.284176,114.142356,"Shop 1&2, G/F, Golden Phoenix Court",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
12922-155444,HK,Licensed,22.29466,114.16923,九龍尖沙咀梳士巴利道號星光行地庫B5號舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
7076-154450,HK,Licensed,22.294049,114.170575,"G/F, Auditoria Building",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
20668-234764,HK,Licensed,22.295674,114.168792,"Kiosk 406K, Level 4, Ocean Centre",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34645-95953,HK,Licensed,22.274584,114.171776,"Shop Nos. 318-319 on 3rd Flr, Hopewell",Wan Chai,91,GMT+08:00 Asia/Hong_Kong,2021
31356-295106,HK,Licensed,22.270317,114.149651,"Shop 203, Level 2, The Peak Galleria",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
62854-297421,HK,Licensed,22.28117,114.175682,"Shop G7-G8, G/F, Harbour Centre",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32024-296966,HK,Licensed,22.296608,114.169669,"Shop 1, Basement","28 Canton Road, TST, Kowloon",91,GMT+08:00 Asia/Hong_Kong,2021
58123-292255,HK,Licensed,22.2934,114.173793,"Portion of G/F & 1/F, Star Avenue",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
28937-251934,HK,Licensed,22.29657,114.171258,"Basement, No.14 - 16 Hankow Road,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
57102-291124,HK,Licensed,22.298961,114.167982,"2402K, Level 2",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34605-28027,HK,Licensed,22.280551,114.176802,"Shop Nos. G12-13, G/F. Sun Hung Kai Ctr.",Wan Chai,91,GMT+08:00 Asia/Hong_Kong,2021
1777-134912,HK,Licensed,22.296685,114.172018,"Shop LB02 & portion area, Lobby Floor",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
18770-195085,HK,Licensed,22.287214,114.138773,"Whole of G/F Unit, The Henry,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
55088-288880,HK,Licensed,22.301861,114.162779,"Shop B1-7, B1 Concourse, West",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
30735-101334,HK,Licensed,22.30044,114.16781,"Shop 17A, 1/F, China Hong Kong City, 33",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32347-134899,HK,Licensed,22.278148,114.178669,"Shop A, Ground Floor, W Square",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
23343-229464,HK,Licensed,22.297653,114.173694,"No. G31, K11, 18 Hanoi Road",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31996-167164,HK,Licensed,22.304,114.16158,"Shop 2100B, Level 2, Elements",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
16738-175264,HK,Licensed,22.283084,114.135882,"Shop 2, G/F, Composite building",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
15014-157084,HK,Licensed,22.29058,114.20979,"Unit 1, First Floor, Kerry Centre",Quarry Bay,91,GMT+08:00 Asia/Hong_Kong,2021
31354-107893,HK,Licensed,22.287554,114.211874,14A G/F Hoi Kwong Court,Quarry Bay,91,GMT+08:00 Asia/Hong_Kong,2021
31235-106228,HK,Licensed,22.286661,114.214299,香港太古城第五期建安閣地下G516號舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
57429-291552,HK,Licensed,22.290043,114.195896,"1/F, Tiffan Court, 310A King's Road",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
20654-207724,HK,Licensed,22.285806,114.217402,"Shop 005-006 & 009, G/F, Cityplaza",Taikoo Shing,91,GMT+08:00 Asia/Hong_Kong,2021
52643-282604,HK,Licensed,22.284989,114.216254,香港康山道1號康怡廣場 一樓F24-F25號舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
27612-248108,HK,Licensed,22.284723,114.223245,"Shop C 11-12, G/F, Site C",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34646-96055,HK,Licensed,22.288098,114.192578,"Shop Nos. 7 & 8, G/F, AIA Tower",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
24613-238415,HK,Licensed,22.304246,114.251974,"Shop No.L2-008B, 2/F, Metro Town",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
22975-218604,HK,Licensed,22.323608,114.257683,"Shop 1011-13, Level 1,",Tseung Kwan 0,91,GMT+08:00 Asia/Hong_Kong,2021
34659-100323,HK,Licensed,22.27832,114.18192,"Kiosk H on 9/F, Times Square",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
21323-211425,HK,Licensed,22.280456,114.182261,"Shop A, 2/F, Causeway Bay Plaza 2",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
16506-172147,HK,Licensed,22.277534,114.183017,"Shop L05, LG/F, Leighton Centre",Causeway Bay,91,GMT+08:00 Asia/Hong_Kong,2021
17437-181845,HK,Licensed,22.279601,114.183805,"Portion C of Jasons, Basement 2",Causeway Bay,91,GMT+08:00 Asia/Hong_Kong,2021
54331-286434,HK,Licensed,22.278027,114.185143,"Shop 101 - 110, Lee Garden Three",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32195-235805,HK,Licensed,22.280479,114.18524,"Shop No. F1, 1/F, 27-47 Paterson Street,",Causeway Bay,91,GMT+08:00 Asia/Hong_Kong,2021
64712-298902,HK,Licensed,22.280518,114.186596,"Shop 110, 1/F, Windsor House",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
48031-261185,HK,Licensed,22.286607,114.135667,"Shop G01&G02, G/F, Pacific Plaza,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
50070-272545,HK,Licensed,22.282658,114.12881,香港堅尼地城卑路乍街76號 Imperial Kennedy地下3號舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
14951-156525,HK,Licensed,22.278827,114.188301,"Shop 3, G/F, Cathay Mansion",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31028-104389,HK,Licensed,22.27876,114.19166,"Shop 1 on Ground Floor, Fortis Bank",Wan Chai,91,GMT+08:00 Asia/Hong_Kong,2021
16020-167645,HK,Licensed,22.28228,114.192244,"Shop D, G/F, Hung On Building",Tin Hau,91,GMT+08:00 Asia/Hong_Kong,2021
19320-201106,HK,Licensed,22.267523,114.18711,"G/F, Le Cachet, 69 Sing Woo Road",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34249-62099,AE,Licensed,25.229669,55.319303,Oud Mina,Dubai,DU,GMT+04:00 Asia/Dubai,2021
30954-99024,AE,Licensed,25.23109,55.32647,Dubai Health Care City D Block,Dubai,DU,GMT+04:00 Asia/Dubai,2021
32714-122107,AE,Licensed,25.23424,55.311429,"Street 19, Oud  Metha Area",Dubai,DU,GMT+04:00 Asia/Dubai,2021
62173-296739,AE,Licensed,25.251444,55.330561,8th St - Dubai,Dubai,DU,GMT+04:00 Asia/Dubai,2021
50245-273628,AE,Licensed,25.246806,55.339464,"2nd Street, Al Garhoud, Dubai",Dubai,DU,GMT+04:00 Asia/Dubai,2021
31199-104340,AE,Licensed,25.251866,55.332833,Deira,Dubai,DU,GMT+04:00 Asia/Dubai,2021
34320-74020,AE,Licensed,25.25374,55.303499,Banks Street,Dubai,DU,GMT+04:00 Asia/Dubai,2021
49595-270099,AE,Licensed,25.257815,55.327233,Dubai economic department,Dubai,DU,GMT+04:00 Asia/Dubai,2021
50733-276145,AE,Licensed,25.223093,55.352372,P.O Box 49776 - Crescent Drive -Dubai,Dubai,DU,GMT+04:00 Asia/Dubai,2021
48395-262948,AE,Licensed,25.221542,55.285242,"C1 Building, Dubai world trade center",Dubai -UAE,DU,GMT+04:00 Asia/Dubai,2021
24927-239346,AE,Licensed,25.224252,55.354236,Dubai Festival City,Dubai,DU,GMT+04:00 Asia/Dubai,2021
34211-17922,AE,Licensed,25.21769,55.283103,Sheikh Zayed Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
23213-228760,AE,Licensed,25.259304,55.341268,Dubai Airport,Dubai,DU,GMT+04:00 Asia/Dubai,2021
23212-228759,AE,Licensed,25.257361,55.344323,Dubai Airport,Dubai,DU,GMT+04:00 Asia/Dubai,2021
